id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
AGU-23,Águas e Efluentes,,,"Promover campanhas em datas comemorativa, tais como Dia Mundial da Água (Vide Apêndice III.7), com intuito a sensibilização do público para o não desperdício da água (uso mais sustentável).","ASSUS, CPS e ACS",Curtíssimo,,,Número de eventos realizados. Público alcançado,,,Não iniciada,0,,,PDF p.62,Todos
AGU-24,Águas e Efluentes,,,Publicar em meio oficial da instituição das devolutivas das reuniões de Comitês de Bacia Hidrográfica (CBH) da região (Vide Apêndice III.8).,"ASSUS, CPS e ACS",Curto,periódico,,Publicação de atas e/ou de relatos das reuniões dos CBHs que a UFSB tem assento,,,Não iniciada,0,,,PDF p.62,Todos
AGU-25,Águas e Efluentes,,,Realizar comunicação permanente com o público usuário do recurso.,"ASSUS, CPS e ACS",Curto,periódico,,Público alcançado,,,Não iniciada,0,,,PDF p.62,Todos
AGU-26,Águas e Efluentes,,,"Desenvolver uma página no site oficial da universidade para compartilhar informações acerca da gestão do uso de água, bem como, artigos e publicações referentes.","ASSUS, ACS e Diretoria de Sistemas e Conteúdos Digitais (PROTIC)",Curto a Médio,,,Página oficial criada no site da UFSB,,,Não iniciada,0,,,PDF p.62,Todos
AGU-27,Águas e Efluentes,,,Interagir com a comunidade acadêmica e demais membros da sociedade civil por meio das redes sociais com o propósito de sensibilizar para o uso mais sustentável do recurso.,"ASSUS, CPS e ACS",Curto,periódico,,Público alcançado,,,Não iniciada,0,,,PDF p.62,Todos
AGU-28,Águas e Efluentes,,,"Desenvolver um banco de ideias, preferencialmente online, onde sugestões possam ser cadastradas pelos usuários.","ASSUS, ACS e Diretoria de Sistemas e Conteúdos Digitais (PROTIC)",Curto,,,Sistema disponibilizado para a comunidade universitária. Projetos cadastrados,,,Não iniciada,0,,,PDF p.62,Todos
AGU-29,Águas e Efluentes,,,Classificar as ideias oriundas do banco de ideias e,ASSUS e CPS,Curto,,,Relatórios produzidos e,,,Não iniciada,0,,,PDF p.62,Todos
AGU-30,Águas e Efluentes,,,"Promover eventos semestrais com objetivo de proporcionar interação entre a gestão, ECOTIMES e a comunidade acadêmica. Os eventos possibilitarão a apresentação de resultados e metas acerca do uso de água, bem como, exposição de trabalhos acadêmicos desenvolvidos.",ASSUS e CPS,Curto,periódico,,"Eventos realizados (ao menos, 1 por ano)",,,Não iniciada,0,,,PDF p.63,Todos
AGU-31,Águas e Efluentes,,,Nomeação de Comissão para Elaboração do Plano de Gestão de Efluentes gerados em espaços de práticas laboratoriais,"ASSUS, Unidades Acadêmicas e Coordenação de Apoio Administ. dos Campi",Curtíssimo,,,Portaria publicada,,,Não iniciada,0,,,PDF p.63,Todos
AGU-32,Águas e Efluentes,,,Elaboração de Plano de Gestão de Efluentes gerados em espaços de práticas laboratoriais,Comissão nomeada,Curto,,,Plano de Gestão de Efluentes Gerados em Laboratoriais aprovado,,,Não iniciada,0,,,PDF p.63,Todos
AGU-33,Águas e Efluentes,,,Garantir a gestão dos efluentes. Segregar e tratar,"Coordenação de laboratórios,",Curtíssimo,,,100% dos efluentes,,,Não iniciada,0,,,PDF p.63,Todos
AGU-34,Águas e Efluentes,,,Contratação de empresa especializada no recolhimento e tratamento de efluentes gerados em espaços de práticas que precisarão ser descartados,DIRAD e DIRPLAN,Curto,,,Termo de referência assinado com a empresa prestadora de serviço,,,Não iniciada,0,,,PDF p.64,Todos
AGU-35,Águas e Efluentes,,,"Analisar possíveis formas de utilização de sistemas de reuso de água nas edificações e destinar o uso conforme a classificação (água marrons, cinzas e amarelas)",DINFRA,Curto a Médio,,,"Relatórios publicados. Sistemas de tratamento e reuso de água implantados, quando possível",,,Não iniciada,0,,,PDF p.64,Todos
AGU-36,Águas e Efluentes,,,Realizar as análises necessárias para garantir a qualidade do efluente exigidas por lei (Vide Apêndice III.9),DINFRA,Curtíssimo,,,Relatórios produzidos.,,,Não iniciada,0,,,PDF p.64,Todos
